"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"pc1"	"pc2"
"37"	"GA-POR-LI-7"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.14327437408345	1.60456738689683	0.0846676199154863	0.419031814455613	-0.340006775329206	0.10558896963161	0.364584391598058	-0.671183141219494	0.359607284089054	0.240331210238771	0.45613106888777	0.72176727198977	0	1.11022302462516e-16	81.71	15.93
"38"	"GA-POR-LI-8"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.95013422710587	1.06201842076536	-0.927396012801912	0.548166603209359	0.0199229087770898	-0.171992868193178	-0.466413756299729	0.650919581598483	0.490347224303664	0.0922330763924474	-0.00102024372763505	-0.0154347171212949	0	1.11022302462516e-16	81.71	15.93
"39"	"GA-POR-LI-9"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"40"	"GA-POR-MI-1"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	2.67636866887849	-0.422022136575437	-1.49710457293316	0.325819452464812	0.212840305218609	-0.0136829800648411	-0.0154700563742375	0.02426959476051	0.0289503070845795	0.00271163967392242	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"41"	"GA-POR-MI-10"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	2.50190650175512	-0.140092269205691	-1.67405294336572	0.255388429284523	-0.22556109014058	0.0316781302088228	0.222672609876505	0.181244897380541	0.0512146353833987	0.0024467951110594	0.00083474486806126	0.0126284049174177	0	-1.11022302462516e-16	81.71	15.93
"42"	"GA-POR-MI-11"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	0.858084088985665	1.52350014317067	0.0591199528043183	0.562771525599443	-0.533733569789851	-0.0329474057469885	-0.00809412511987095	0.838419333268449	-0.0522591704726707	0.676475128506946	-0.45631656774735	-0.72457358419365	0	9.0205620750794e-17	81.71	15.93
"43"	"GA-POR-MI-12"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.15414202718245	0.402761906480485	-0.512825676881254	-0.00713850659736315	0.0179397565444731	0.0561726183041514	0.217190891754329	0.182490270290923	0.0511648029859919	0.00263373859612394	0.000834744868061266	0.0126284049174178	0	-1.11022302462516e-16	81.71	15.93
"44"	"GA-POR-MI-13"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.940484663400156	2.03900631063571	1.06644982734102	1.37725310208309	0.253993283881222	-0.21691338764306	-0.731313807791079	1.16612730894955	-0.202235830374319	1.35087028432194	-0.913467880362761	-1.46177557330472	0	2.22044604925031e-16	81.71	15.93
"45"	"GA-POR-MI-14"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	2.67636866887849	-0.422022136575437	-1.49710457293316	0.325819452464812	0.212840305218609	-0.0136829800648411	-0.0154700563742375	0.02426959476051	0.0289503070845795	0.00271163967392242	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"46"	"GA-POR-MI-15"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"47"	"GA-POR-MI-16"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	0.411387509352648	0.410047060653846	-0.810605903511738	0.855795314966446	-0.367868213829109	-0.152287851687253	-0.500547072794702	0.508952873061638	-0.0987620245182493	0.67684195092605	-0.45631656774735	-0.724573584193649	0	5.55111512312578e-17	81.71	15.93
