"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"38"	"GA-POR-LI-8"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.42111494969431	0.19665340987284	0.363767597454361	-0.566733051550956	-0.100535965334989	-0.0828157951668944	-0.0252305339128874	-0.0696775715340858	0.0600445157900654	0.0190676545151039	0.0222988835339333	0.0453608552839014	-0.0212392073185702	0.16961697364991	-0.0723644575721783	0.0660138082571808	-0.0196574759847205	-0.114161727225973	-0.43707966383727	-0.0845390688107311	96.53	0.94
"39"	"GA-POR-LI-9"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"40"	"GA-POR-MI-1"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.858402713625889	0.627216114846738	4.36994357994103	-0.0652675245157897	1.13465227313558	-1.07611079171503	2.68959387374191	-0.789389521174223	0.312077096868091	-0.31825755084369	0.0562127356076756	-1.68495009939511	0.968865535720717	0.501002387250532	-1.22093590937531	0.414467529084002	-0.746874695733206	0.85065361895442	-0.129503617523351	-0.108451611466393	96.53	0.94
"41"	"GA-POR-MI-10"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.77476893005395	0.364978151312668	2.17043894567648	-0.0205546965787812	0.562391464868975	-0.530494961126138	1.34186240818807	-0.415259359399283	0.177996220020089	-0.12534822938271	0.0259040687452357	-0.821792988205471	0.473160647764508	0.241858420439665	-0.601017597850949	0.203222933986613	-0.36292010821222	0.416877254487023	-0.05845200867376	-0.0511526603476792	96.53	0.94
"42"	"GA-POR-MI-11"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"43"	"GA-POR-MI-12"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.42894954425926	0.193928532148326	0.352369599955026	-0.549588434573537	-0.0979052872157124	-0.0799741778747655	-0.0246687636426263	-0.0688492448469266	0.0595765303221887	0.0204746841628394	0.0476668420333739	0.0706247396737391	-0.0359460455943096	-0.0673972764574082	-0.00494413503587075	-0.0712405769673772	0.0646934276471929	0.0932940055298957	0.416822901046631	-0.721049880628437	96.53	0.94
"44"	"GA-POR-MI-13"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.77476893005395	0.364978151312668	2.17043894567648	-0.0205546965787812	0.562391464868975	-0.530494961126138	1.34186240818807	-0.415259359399283	0.177996220020089	-0.12534822938271	0.0259040687452357	-0.821792988205471	0.473160647764508	0.241858420439665	-0.601017597850949	0.203222933986613	-0.36292010821222	0.416877254487023	-0.05845200867376	-0.0511526603476792	96.53	0.94
"45"	"GA-POR-MI-14"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"46"	"GA-POR-MI-15"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.858402713625889	0.627216114846738	4.36994357994103	-0.0652675245157897	1.13465227313558	-1.07611079171503	2.68959387374191	-0.789389521174223	0.312077096868091	-0.31825755084369	0.0562127356076756	-1.68495009939511	0.968865535720717	0.501002387250532	-1.22093590937531	0.414467529084002	-0.746874695733206	0.85065361895442	-0.129503617523351	-0.108451611466393	96.53	0.94
"47"	"GA-POR-MI-16"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.77476893005395	0.364978151312668	2.17043894567648	-0.0205546965787812	0.562391464868975	-0.530494961126138	1.34186240818807	-0.415259359399283	0.177996220020089	-0.12534822938271	0.0259040687452357	-0.821792988205471	0.473160647764508	0.241858420439665	-0.601017597850949	0.203222933986613	-0.36292010821222	0.416877254487023	-0.05845200867376	-0.0511526603476792	96.53	0.94
